Gene,Cancer Type,Source,Study,level
TAOK1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
TAOK2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
TCF4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
TFDP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
TNPO1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
TOM1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
TP53BP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
UPF3B,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ZNF814,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ARID1A,LUSC,IntOGen,LUSC_TCGA,A
B2M,LUSC,IntOGen,LUSC_TCGA,A
CASP8,LUSC,IntOGen,LUSC_TCGA,A
CDH1,LUSC,IntOGen,LUSC_TCGA,A
CDKN1A,LUSC,IntOGen,LUSC_TCGA,A
CDKN2A,LUSC,IntOGen,LUSC_TCGA,A
CIC,LUSC,IntOGen,LUSC_TCGA,A
CNOT4,LUSC,IntOGen,LUSC_TCGA,A
CTNNB1,LUSC,IntOGen,LUSC_TCGA,A
EEF1A1,LUSC,IntOGen,LUSC_TCGA,A
EGFR,LUSC,IntOGen,LUSC_TCGA,A
FUBP1,LUSC,IntOGen,LUSC_TCGA,A
GATA3,LUSC,IntOGen,LUSC_TCGA,A
HRAS,LUSC,IntOGen,LUSC_TCGA,A
IDH1,LUSC,IntOGen,LUSC_TCGA,A
KDM5C,LUSC,IntOGen,LUSC_TCGA,A
KEAP1,LUSC,IntOGen,LUSC_TCGA,A
KRAS,LUSC,IntOGen,LUSC_TCGA,A
MAP2K1,LUSC,IntOGen,LUSC_TCGA,A
MAP3K1,LUSC,IntOGen,LUSC_TCGA,A
MLL2,LUSC,IntOGen,LUSC_TCGA,A
NF1,LUSC,IntOGen,LUSC_TCGA,A
NFE2L2,LUSC,IntOGen,LUSC_TCGA,A
PHF6,LUSC,IntOGen,LUSC_TCGA,A
PIK3CA,LUSC,IntOGen,LUSC_TCGA,A
PTEN,LUSC,IntOGen,LUSC_TCGA,A
RASA1,LUSC,IntOGen,LUSC_TCGA,A
RB1,LUSC,IntOGen,LUSC_TCGA,A
RPL5,LUSC,IntOGen,LUSC_TCGA,A
SETD2,LUSC,IntOGen,LUSC_TCGA,A
SMAD2,LUSC,IntOGen,LUSC_TCGA,A
SMAD4,LUSC,IntOGen,LUSC_TCGA,A
STK11,LUSC,IntOGen,LUSC_TCGA,A
TBL1XR1,LUSC,IntOGen,LUSC_TCGA,A
TP53,LUSC,IntOGen,LUSC_TCGA,A
WT1,LUSC,IntOGen,LUSC_TCGA,A
ABL2,LUSC,IntOGen,LUSC_TCGA,B
ACSL6,LUSC,IntOGen,LUSC_TCGA,B
AFF4,LUSC,IntOGen,LUSC_TCGA,B
BLM,LUSC,IntOGen,LUSC_TCGA,B
CDC73,LUSC,IntOGen,LUSC_TCGA,B
CHEK2,LUSC,IntOGen,LUSC_TCGA,B
EIF4A2,LUSC,IntOGen,LUSC_TCGA,B
EZH2,LUSC,IntOGen,LUSC_TCGA,B
FGFR2,LUSC,IntOGen,LUSC_TCGA,B
FGFR3,LUSC,IntOGen,LUSC_TCGA,B
FOXP1,LUSC,IntOGen,LUSC_TCGA,B
GOLGA5,LUSC,IntOGen,LUSC_TCGA,B
HLF,LUSC,IntOGen,LUSC_TCGA,B
HSP90AA1,LUSC,IntOGen,LUSC_TCGA,B
HSP90AB1,LUSC,IntOGen,LUSC_TCGA,B
MEN1,LUSC,IntOGen,LUSC_TCGA,B
MET,LUSC,IntOGen,LUSC_TCGA,B
MKL1,LUSC,IntOGen,LUSC_TCGA,B
MLH1,LUSC,IntOGen,LUSC_TCGA,B
MLL,LUSC,IntOGen,LUSC_TCGA,B
MYB,LUSC,IntOGen,LUSC_TCGA,B
NDRG1,LUSC,IntOGen,LUSC_TCGA,B
NOTCH1,LUSC,IntOGen,LUSC_TCGA,B
NUP98,LUSC,IntOGen,LUSC_TCGA,B
PAX5,LUSC,IntOGen,LUSC_TCGA,B
PTPN11,LUSC,IntOGen,LUSC_TCGA,B
SF3B1,LUSC,IntOGen,LUSC_TCGA,B
SRGAP3,LUSC,IntOGen,LUSC_TCGA,B
SUZ12,LUSC,IntOGen,LUSC_TCGA,B
THRAP3,LUSC,IntOGen,LUSC_TCGA,B
ACAD8,LUSC,IntOGen,LUSC_TCGA,C
ACO1,LUSC,IntOGen,LUSC_TCGA,C
ACTG2,LUSC,IntOGen,LUSC_TCGA,C
ACVR1B,LUSC,IntOGen,LUSC_TCGA,C
ADAM10,LUSC,IntOGen,LUSC_TCGA,C
AQR,LUSC,IntOGen,LUSC_TCGA,C
ARFGEF2,LUSC,IntOGen,LUSC_TCGA,C
ARHGEF6,LUSC,IntOGen,LUSC_TCGA,C
ARID1B,LUSC,IntOGen,LUSC_TCGA,C
ARNTL,LUSC,IntOGen,LUSC_TCGA,C
CAST,LUSC,IntOGen,LUSC_TCGA,C
CCAR1,LUSC,IntOGen,LUSC_TCGA,C
CHD1L,LUSC,IntOGen,LUSC_TCGA,C
CHD3,LUSC,IntOGen,LUSC_TCGA,C
CLASP2,LUSC,IntOGen,LUSC_TCGA,C
CLOCK,LUSC,IntOGen,LUSC_TCGA,C
CNOT3,LUSC,IntOGen,LUSC_TCGA,C
COPS2,LUSC,IntOGen,LUSC_TCGA,C
CSDA,LUSC,IntOGen,LUSC_TCGA,C
CSDE1,LUSC,IntOGen,LUSC_TCGA,C
CTTN,LUSC,IntOGen,LUSC_TCGA,C
CUL1,LUSC,IntOGen,LUSC_TCGA,C
DDX3X,LUSC,IntOGen,LUSC_TCGA,C
DHX15,LUSC,IntOGen,LUSC_TCGA,C
DHX9,LUSC,IntOGen,LUSC_TCGA,C
DLG1,LUSC,IntOGen,LUSC_TCGA,C
EIF2C3,LUSC,IntOGen,LUSC_TCGA,C
ELF1,LUSC,IntOGen,LUSC_TCGA,C
ERBB2IP,LUSC,IntOGen,LUSC_TCGA,C
FMR1,LUSC,IntOGen,LUSC_TCGA,C
FN1,LUSC,IntOGen,LUSC_TCGA,C
FXR1,LUSC,IntOGen,LUSC_TCGA,C
G3BP2,LUSC,IntOGen,LUSC_TCGA,C
GNAI1,LUSC,IntOGen,LUSC_TCGA,C
GPSM2,LUSC,IntOGen,LUSC_TCGA,C
HLA-A,LUSC,IntOGen,LUSC_TCGA,C
HSPA8,LUSC,IntOGen,LUSC_TCGA,C
IREB2,LUSC,IntOGen,LUSC_TCGA,C
IRS2,LUSC,IntOGen,LUSC_TCGA,C
ITSN1,LUSC,IntOGen,LUSC_TCGA,C
MAP3K4,LUSC,IntOGen,LUSC_TCGA,C
MED17,LUSC,IntOGen,LUSC_TCGA,C
MED24,LUSC,IntOGen,LUSC_TCGA,C
MUC20,LUSC,IntOGen,LUSC_TCGA,C
NCF2,LUSC,IntOGen,LUSC_TCGA,C
NCK1,LUSC,IntOGen,LUSC_TCGA,C
NFATC4,LUSC,IntOGen,LUSC_TCGA,C
NR4A2,LUSC,IntOGen,LUSC_TCGA,C
NTN4,LUSC,IntOGen,LUSC_TCGA,C
NUP107,LUSC,IntOGen,LUSC_TCGA,C
PCDH18,LUSC,IntOGen,LUSC_TCGA,C
PCSK6,LUSC,IntOGen,LUSC_TCGA,C
PIK3CB,LUSC,IntOGen,LUSC_TCGA,C
PIK3R3,LUSC,IntOGen,LUSC_TCGA,C
PIP5K1A,LUSC,IntOGen,LUSC_TCGA,C
PPP2R5C,LUSC,IntOGen,LUSC_TCGA,C
PRPF8,LUSC,IntOGen,LUSC_TCGA,C
RAD21,LUSC,IntOGen,LUSC_TCGA,C
RBM10,LUSC,IntOGen,LUSC_TCGA,C
RGS3,LUSC,IntOGen,LUSC_TCGA,C
RTN4,LUSC,IntOGen,LUSC_TCGA,C
SEC24D,LUSC,IntOGen,LUSC_TCGA,C
SETDB1,LUSC,IntOGen,LUSC_TCGA,C
SF3A3,LUSC,IntOGen,LUSC_TCGA,C
SIN3A,LUSC,IntOGen,LUSC_TCGA,C
SPTAN1,LUSC,IntOGen,LUSC_TCGA,C
STAG1,LUSC,IntOGen,LUSC_TCGA,C
STK4,LUSC,IntOGen,LUSC_TCGA,C
SYNCRIP,LUSC,IntOGen,LUSC_TCGA,C
TAOK2,LUSC,IntOGen,LUSC_TCGA,C
TBX3,LUSC,IntOGen,LUSC_TCGA,C
TFDP1,LUSC,IntOGen,LUSC_TCGA,C
TFDP2,LUSC,IntOGen,LUSC_TCGA,C
TGFBR2,LUSC,IntOGen,LUSC_TCGA,C
TJP2,LUSC,IntOGen,LUSC_TCGA,C
TNPO1,LUSC,IntOGen,LUSC_TCGA,C
TOM1,LUSC,IntOGen,LUSC_TCGA,C
UPF3B,LUSC,IntOGen,LUSC_TCGA,C
WIPF1,LUSC,IntOGen,LUSC_TCGA,C
ZC3H11A,LUSC,IntOGen,LUSC_TCGA,C
ZFP36L2,LUSC,IntOGen,LUSC_TCGA,C
ARID1A,MED,IntOGen,"MED_NewS,PedBrain",A
ARID2,MED,IntOGen,"MED_NewS,PedBrain",A
CTNNB1,MED,IntOGen,"MED_NewS,PedBrain",A
FBXW7,MED,IntOGen,"MED_NewS,PedBrain",A
KDM6A,MED,IntOGen,"MED_NewS,PedBrain",A
MLL2,MED,IntOGen,"MED_NewS,PedBrain",A
MLL3,MED,IntOGen,"MED_NewS,PedBrain",A
NF1,MED,IntOGen,"MED_NewS,PedBrain",A
PIK3CA,MED,IntOGen,"MED_NewS,PedBrain",A
SMO,MED,IntOGen,"MED_NewS,PedBrain",A
TP53,MED,IntOGen,"MED_NewS,PedBrain",A
BCOR,MED,IntOGen,"MED_NewS,PedBrain",B
CREBBP,MED,IntOGen,"MED_NewS,PedBrain",B
PRKAR1A,MED,IntOGen,"MED_NewS,PedBrain",B
PTCH1,MED,IntOGen,"MED_NewS,PedBrain",B
SMARCA4,MED,IntOGen,"MED_NewS,PedBrain",B
ARID1B,MED,IntOGen,"MED_NewS,PedBrain",C
BCLAF1,MED,IntOGen,"MED_NewS,PedBrain",C
CCAR1,MED,IntOGen,"MED_NewS,PedBrain",C
DDX3X,MED,IntOGen,"MED_NewS,PedBrain",C
FMR1,MED,IntOGen,"MED_NewS,PedBrain",C
MGA,MED,IntOGen,"MED_NewS,PedBrain",C
TAF1,MED,IntOGen,"MED_NewS,PedBrain",C
TCF4,MED,IntOGen,"MED_NewS,PedBrain",C
APC,MM,IntOGen,Myeloma_NewS,A
ARID2,MM,IntOGen,Myeloma_NewS,A
BRAF,MM,IntOGen,Myeloma_NewS,A
CASP8,MM,IntOGen,Myeloma_NewS,A
KRAS,MM,IntOGen,Myeloma_NewS,A
NF1,MM,IntOGen,Myeloma_NewS,A
NRAS,MM,IntOGen,Myeloma_NewS,A
PIK3CA,MM,IntOGen,Myeloma_NewS,A
TP53,MM,IntOGen,Myeloma_NewS,A
FAM46C,MM,IntOGen,Myeloma_NewS,B
MECOM,MM,IntOGen,Myeloma_NewS,B
NSD1,MM,IntOGen,Myeloma_NewS,B
SF3B1,MM,IntOGen,Myeloma_NewS,B
ARHGAP35,MM,IntOGen,Myeloma_NewS,C
CEP290,MM,IntOGen,Myeloma_NewS,C
CHD9,MM,IntOGen,Myeloma_NewS,C
DDX3X,MM,IntOGen,Myeloma_NewS,C
FXR1,MM,IntOGen,Myeloma_NewS,C
ALK,NB,IntOGen,NBM_Broad,A
ARID1A,NB,IntOGen,NBM_Broad,A
ATM,NB,IntOGen,NBM_Broad,A
ATRX,NB,IntOGen,NBM_Broad,A
MLL2,NB,IntOGen,NBM_Broad,A
NF1,NB,IntOGen,NBM_Broad,A
NRAS,NB,IntOGen,NBM_Broad,A
PBRM1,NB,IntOGen,NBM_Broad,A
PIK3CA,NB,IntOGen,NBM_Broad,A
COL1A1,NB,IntOGen,NBM_Broad,B
CREBBP,NB,IntOGen,NBM_Broad,B
MECOM,NB,IntOGen,NBM_Broad,B
MET,NB,IntOGen,NBM_Broad,B
MYCN,NB,IntOGen,NBM_Broad,B
NOTCH1,NB,IntOGen,NBM_Broad,B
PTPN11,NB,IntOGen,NBM_Broad,B
AHR,NB,IntOGen,NBM_Broad,C
ANK3,NB,IntOGen,NBM_Broad,C
CEP290,NB,IntOGen,NBM_Broad,C
EIF2C3,NB,IntOGen,NBM_Broad,C
KLF4,NB,IntOGen,NBM_Broad,C
LRP6,NB,IntOGen,NBM_Broad,C
MACF1,NB,IntOGen,NBM_Broad,C
PIK3CB,NB,IntOGen,NBM_Broad,C
STAG1,NB,IntOGen,NBM_Broad,C
TAF1,NB,IntOGen,NBM_Broad,C
TRIO,NB,IntOGen,NBM_Broad,C
APC,NSCLC,IntOGen,NSCLC_Wisc,A
KEAP1,NSCLC,IntOGen,NSCLC_Wisc,A
KRAS,NSCLC,IntOGen,NSCLC_Wisc,A
MLL3,NSCLC,IntOGen,NSCLC_Wisc,A
RB1,NSCLC,IntOGen,NSCLC_Wisc,A
TP53,NSCLC,IntOGen,NSCLC_Wisc,A
AKAP9,NSCLC,IntOGen,NSCLC_Wisc,B
SMARCA4,NSCLC,IntOGen,NSCLC_Wisc,B
HGF,NSCLC,IntOGen,NSCLC_Wisc,C
KALRN,NSCLC,IntOGen,NSCLC_Wisc,C
SEC24D,NSCLC,IntOGen,NSCLC_Wisc,C
ACTG1,OV,IntOGen,OV_TCGA,A
ARID1A,OV,IntOGen,OV_TCGA,A
ATRX,OV,IntOGen,OV_TCGA,A
BAP1,OV,IntOGen,OV_TCGA,A
BRAF,OV,IntOGen,OV_TCGA,A
CHD4,OV,IntOGen,OV_TCGA,A
CTNNB1,OV,IntOGen,OV_TCGA,A
DDX5,OV,IntOGen,OV_TCGA,A
DNMT3A,OV,IntOGen,OV_TCGA,A
FBXW7,OV,IntOGen,OV_TCGA,A
KRAS,OV,IntOGen,OV_TCGA,A
LPHN2,OV,IntOGen,OV_TCGA,A
MLL2,OV,IntOGen,OV_TCGA,A
NF1,OV,IntOGen,OV_TCGA,A
NRAS,OV,IntOGen,OV_TCGA,A
PIK3CA,OV,IntOGen,OV_TCGA,A
PTEN,OV,IntOGen,OV_TCGA,A
RB1,OV,IntOGen,OV_TCGA,A
RHOA,OV,IntOGen,OV_TCGA,A
SETD2,OV,IntOGen,OV_TCGA,A
STAG2,OV,IntOGen,OV_TCGA,A
TBX3,OV,IntOGen,OV_TCGA,A
TGFBR2,OV,IntOGen,OV_TCGA,A
TP53,OV,IntOGen,OV_TCGA,A
AFF4,OV,IntOGen,OV_TCGA,B
ATF1,OV,IntOGen,OV_TCGA,B
ATIC,OV,IntOGen,OV_TCGA,B
BRCA1,OV,IntOGen,OV_TCGA,B
BRCA2,OV,IntOGen,OV_TCGA,B
CDK12,OV,IntOGen,OV_TCGA,B
EIF4A2,OV,IntOGen,OV_TCGA,B
FAM123B,OV,IntOGen,OV_TCGA,B
FLT3,OV,IntOGen,OV_TCGA,B
GNAS,OV,IntOGen,OV_TCGA,B
GOLGA5,OV,IntOGen,OV_TCGA,B
HSP90AA1,OV,IntOGen,OV_TCGA,B
MECOM,OV,IntOGen,OV_TCGA,B
MED12,OV,IntOGen,OV_TCGA,B
MKL1,OV,IntOGen,OV_TCGA,B
MLH1,OV,IntOGen,OV_TCGA,B
NDRG1,OV,IntOGen,OV_TCGA,B
NOTCH1,OV,IntOGen,OV_TCGA,B
NSD1,OV,IntOGen,OV_TCGA,B
TCF7L2,OV,IntOGen,OV_TCGA,B
ACO1,OV,IntOGen,OV_TCGA,C
ASH1L,OV,IntOGen,OV_TCGA,C
ASPM,OV,IntOGen,OV_TCGA,C
ATR,OV,IntOGen,OV_TCGA,C
BAZ2B,OV,IntOGen,OV_TCGA,C
BMPR2,OV,IntOGen,OV_TCGA,C
CASP1,OV,IntOGen,OV_TCGA,C
CCAR1,OV,IntOGen,OV_TCGA,C
CCT5,OV,IntOGen,OV_TCGA,C
CHD1L,OV,IntOGen,OV_TCGA,C
CLASP2,OV,IntOGen,OV_TCGA,C
CLSPN,OV,IntOGen,OV_TCGA,C
CSDE1,OV,IntOGen,OV_TCGA,C
CUL2,OV,IntOGen,OV_TCGA,C
DLG1,OV,IntOGen,OV_TCGA,C
EIF2AK3,OV,IntOGen,OV_TCGA,C
ERBB2IP,OV,IntOGen,OV_TCGA,C
F8,OV,IntOGen,OV_TCGA,C
FMR1,OV,IntOGen,OV_TCGA,C
GPS2,OV,IntOGen,OV_TCGA,C
HDAC3,OV,IntOGen,OV_TCGA,C
HGF,OV,IntOGen,OV_TCGA,C
ITSN1,OV,IntOGen,OV_TCGA,C
MAP3K4,OV,IntOGen,OV_TCGA,C
MAP4K3,OV,IntOGen,OV_TCGA,C
MYH10,OV,IntOGen,OV_TCGA,C
NCKAP1,OV,IntOGen,OV_TCGA,C
NR4A2,OV,IntOGen,OV_TCGA,C
POLR2B,OV,IntOGen,OV_TCGA,C
SETDB1,OV,IntOGen,OV_TCGA,C
SIN3A,OV,IntOGen,OV_TCGA,C
SOS1,OV,IntOGen,OV_TCGA,C
STAG1,OV,IntOGen,OV_TCGA,C
TFDP1,OV,IntOGen,OV_TCGA,C
TJP1,OV,IntOGen,OV_TCGA,C
TOM1,OV,IntOGen,OV_TCGA,C
TP53BP1,OV,IntOGen,OV_TCGA,C
TRIO,OV,IntOGen,OV_TCGA,C
YBX1,OV,IntOGen,OV_TCGA,C
ARID1A,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
ARID2,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
ATM,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
EPC1,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
KRAS,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
MAP2K4,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
MLL3,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
PBRM1,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
SMAD4,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
TGFBR2,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
TP53,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",A
CREBBP,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",B
EP300,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",B
SF3B1,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",B
SMARCA4,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",B
ACVR1B,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",C
AHNAK,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",C
ANK3,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",C
ARHGAP35,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",C
PCDH18,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",C
PCSK6,PAAD,IntOGen,"PAAD_JH,PAAD_OICR,PAAD_QCMG",C
APC,PRAD,IntOGen,PRAD_TCGA,A
ATM,PRAD,IntOGen,PRAD_TCGA,A
ATRX,PRAD,IntOGen,PRAD_TCGA,A
BRAF,PRAD,IntOGen,PRAD_TCGA,A
CDH1,PRAD,IntOGen,PRAD_TCGA,A
CDKN1B,PRAD,IntOGen,PRAD_TCGA,A
CHD4,PRAD,IntOGen,PRAD_TCGA,A
CTNNB1,PRAD,IntOGen,PRAD_TCGA,A
EGFR,PRAD,IntOGen,PRAD_TCGA,A
FAT1,PRAD,IntOGen,PRAD_TCGA,A
FRG1,PRAD,IntOGen,PRAD_TCGA,A
FRG1B*,PRAD,IntOGen,PRAD_TCGA,A
HRAS,PRAD,IntOGen,PRAD_TCGA,A
IDH1,PRAD,IntOGen,PRAD_TCGA,A
KDM6A,PRAD,IntOGen,PRAD_TCGA,A
KEAP1,PRAD,IntOGen,PRAD_TCGA,A
MLL2,PRAD,IntOGen,PRAD_TCGA,A
PTEN,PRAD,IntOGen,PRAD_TCGA,A
RPSAP58,PRAD,IntOGen,PRAD_TCGA,A
SCAI,PRAD,IntOGen,PRAD_TCGA,A
SMAD4,PRAD,IntOGen,PRAD_TCGA,A
SPOP,PRAD,IntOGen,PRAD_TCGA,A
TBL1XR1,PRAD,IntOGen,PRAD_TCGA,A
TP53,PRAD,IntOGen,PRAD_TCGA,A
ZNF814,PRAD,IntOGen,PRAD_TCGA,A
AKAP9,PRAD,IntOGen,PRAD_TCGA,B
ATIC,PRAD,IntOGen,PRAD_TCGA,B
BCOR,PRAD,IntOGen,PRAD_TCGA,B
CHEK2,PRAD,IntOGen,PRAD_TCGA,B
EP300,PRAD,IntOGen,PRAD_TCGA,B
ERCC2,PRAD,IntOGen,PRAD_TCGA,B
FGFR2,PRAD,IntOGen,PRAD_TCGA,B
FIP1L1,PRAD,IntOGen,PRAD_TCGA,B
GNAS,PRAD,IntOGen,PRAD_TCGA,B
HNF1A,PRAD,IntOGen,PRAD_TCGA,B
HSP90AB1,PRAD,IntOGen,PRAD_TCGA,B
MECOM,PRAD,IntOGen,PRAD_TCGA,B
MED12,PRAD,IntOGen,PRAD_TCGA,B
NOTCH1,PRAD,IntOGen,PRAD_TCGA,B
NOTCH2,PRAD,IntOGen,PRAD_TCGA,B
NUP98,PRAD,IntOGen,PRAD_TCGA,B
SMARCB1,PRAD,IntOGen,PRAD_TCGA,B
THRAP3,PRAD,IntOGen,PRAD_TCGA,B
WHSC1L1,PRAD,IntOGen,PRAD_TCGA,B
ADCY1,PRAD,IntOGen,PRAD_TCGA,C
AHNAK,PRAD,IntOGen,PRAD_TCGA,C
AQR,PRAD,IntOGen,PRAD_TCGA,C
ARFGAP3,PRAD,IntOGen,PRAD_TCGA,C
ARID1B,PRAD,IntOGen,PRAD_TCGA,C
BCLAF1,PRAD,IntOGen,PRAD_TCGA,C
BNC2,PRAD,IntOGen,PRAD_TCGA,C
BPTF,PRAD,IntOGen,PRAD_TCGA,C
CASP1,PRAD,IntOGen,PRAD_TCGA,C
CAT,PRAD,IntOGen,PRAD_TCGA,C
CDC27,PRAD,IntOGen,PRAD_TCGA,C
CEP290,PRAD,IntOGen,PRAD_TCGA,C
CHD1L,PRAD,IntOGen,PRAD_TCGA,C
CHD3,PRAD,IntOGen,PRAD_TCGA,C
CNOT1,PRAD,IntOGen,PRAD_TCGA,C
CNOT3,PRAD,IntOGen,PRAD_TCGA,C
CNTNAP1,PRAD,IntOGen,PRAD_TCGA,C
CUL2,PRAD,IntOGen,PRAD_TCGA,C
CUL3,PRAD,IntOGen,PRAD_TCGA,C
EEF1B2,PRAD,IntOGen,PRAD_TCGA,C
EIF2AK3,PRAD,IntOGen,PRAD_TCGA,C
EIF4G1,PRAD,IntOGen,PRAD_TCGA,C
FN1,PRAD,IntOGen,PRAD_TCGA,C
G3BP2,PRAD,IntOGen,PRAD_TCGA,C
HGF,PRAD,IntOGen,PRAD_TCGA,C
HSPA8,PRAD,IntOGen,PRAD_TCGA,C
IRS2,PRAD,IntOGen,PRAD_TCGA,C
MYH10,PRAD,IntOGen,PRAD_TCGA,C
NAP1L1,PRAD,IntOGen,PRAD_TCGA,C
NKX3-1,PRAD,IntOGen,PRAD_TCGA,C
PCDH18,PRAD,IntOGen,PRAD_TCGA,C
PIK3CB,PRAD,IntOGen,PRAD_TCGA,C
PLXNA1,PRAD,IntOGen,PRAD_TCGA,C
PRPF8,PRAD,IntOGen,PRAD_TCGA,C
SETDB1,PRAD,IntOGen,PRAD_TCGA,C
SMARCA1,PRAD,IntOGen,PRAD_TCGA,C
SVEP1,PRAD,IntOGen,PRAD_TCGA,C
TAOK2,PRAD,IntOGen,PRAD_TCGA,C
TBX3,PRAD,IntOGen,PRAD_TCGA,C
TJP1,PRAD,IntOGen,PRAD_TCGA,C
TJP2,PRAD,IntOGen,PRAD_TCGA,C
TP53BP1,PRAD,IntOGen,PRAD_TCGA,C
TRIO,PRAD,IntOGen,PRAD_TCGA,C
WNT5A,PRAD,IntOGen,PRAD_TCGA,C
ZFHX3,PRAD,IntOGen,PRAD_TCGA,C
ARID1A,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
ARID2,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
ATRX,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
FAT1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
KDM6A,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
MLL2,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
MLL3,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
NF1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
PIK3CA,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
PTEN,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
RB1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
TP53,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",A
AKAP9,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
CDK12,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
CHEK2,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
CREBBP,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
DICER1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
EP300,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
FAM123B,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
GNAS,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
HSP90AB1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
MED12,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
MLL,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
MYB,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
NOTCH1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",B
AHNAK,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
AHR,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
ANK3,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
ARID1B,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
ASH1L,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
ASPM,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
ATR,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
BAZ2B,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
BCLAF1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
BMPR2,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
BNC2,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
BRWD1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
CCT5,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
CHD1L,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
CLSPN,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
EIF2AK3,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
FN1,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
HGF,SCLC,IntOGen,"SCLC_Cologne,SCLC_JH",C
